"lon" "lat" "lm"
"858" -42.5 87.5 0
"859" -41.5 87.5 0
"860" -40.5 87.5 0
"861" -39.5 87.5 0
"862" -38.5 87.5 0
"863" -37.5 87.5 0
"864" -36.5 87.5 0
"865" -35.5 87.5 0
"866" -34.5 87.5 0
"867" -33.5 87.5 0
"868" -32.5 87.5 0
"869" -31.5 87.5 0
"870" -30.5 87.5 0
"871" -29.5 87.5 0
"872" -28.5 87.5 0
"873" -27.5 87.5 0
"874" -26.5 87.5 0
"875" -25.5 87.5 0
"876" -24.5 87.5 0
"877" -23.5 87.5 0
"878" -22.5 87.5 0
"879" -21.5 87.5 0
"880" -20.5 87.5 0
"881" -19.5 87.5 0
"882" -18.5 87.5 0
"883" -17.5 87.5 0
"884" -16.5 87.5 0
"885" -15.5 87.5 0
"886" -14.5 87.5 0
"887" -13.5 87.5 0
"888" -12.5 87.5 0
"889" -11.5 87.5 0
"890" -10.5 87.5 0
"891" -9.5 87.5 0
"892" -8.5 87.5 0
"893" -7.5 87.5 0
"894" -6.5 87.5 0
"895" -5.5 87.5 0
"896" -4.5 87.5 0
"897" -3.5 87.5 0
"898" -2.5 87.5 0
"899" -1.5 87.5 0
"900" -0.5 87.5 0
"901" 0.5 87.5 0
"902" 1.5 87.5 0
"903" 2.5 87.5 0
"904" 3.5 87.5 0
"905" 4.5 87.5 0
"906" 5.5 87.5 0
"907" 6.5 87.5 0
"908" 7.5 87.5 0
"909" 8.5 87.5 0
"910" 9.5 87.5 0
"911" 10.5 87.5 0
"912" 11.5 87.5 0
"913" 12.5 87.5 0
"914" 13.5 87.5 0
"915" 14.5 87.5 0
"916" 15.5 87.5 0
"917" 16.5 87.5 0
"918" 17.5 87.5 0
"919" 18.5 87.5 0
"920" 19.5 87.5 0
"921" 20.5 87.5 0
"922" 21.5 87.5 0
"923" 22.5 87.5 0
"924" 23.5 87.5 0
"925" 24.5 87.5 0
"926" 25.5 87.5 0
"927" 26.5 87.5 0
"928" 27.5 87.5 0
"929" 28.5 87.5 0
"930" 29.5 87.5 0
"931" 30.5 87.5 0
"932" 31.5 87.5 0
"933" 32.5 87.5 0
"934" 33.5 87.5 0
"935" 34.5 87.5 0
"936" 35.5 87.5 0
"937" 36.5 87.5 0
"938" 37.5 87.5 0
"939" 38.5 87.5 0
"940" 39.5 87.5 0
"941" 40.5 87.5 0
"942" 41.5 87.5 0
"943" 42.5 87.5 0
"944" 43.5 87.5 0
"945" 44.5 87.5 0
"946" 45.5 87.5 0
"947" 46.5 87.5 0
"948" 47.5 87.5 0
"949" 48.5 87.5 0
"950" 49.5 87.5 0
"951" 50.5 87.5 0
"952" 51.5 87.5 0
"953" 52.5 87.5 0
"954" 53.5 87.5 0
"955" 54.5 87.5 0
"956" 55.5 87.5 0
"957" 56.5 87.5 0
"958" 57.5 87.5 0
"959" 58.5 87.5 0
"960" 59.5 87.5 0
"961" 60.5 87.5 0
"962" 61.5 87.5 0
"963" 62.5 87.5 0
"964" 63.5 87.5 0
"965" 64.5 87.5 0
"966" 65.5 87.5 0
"967" 66.5 87.5 0
"968" 67.5 87.5 0
"969" 68.5 87.5 0
"970" 69.5 87.5 0
"971" 70.5 87.5 0
"972" 71.5 87.5 0
"973" 72.5 87.5 0
"974" 73.5 87.5 0
"975" 74.5 87.5 0
"976" 75.5 87.5 0
"977" 76.5 87.5 0
"978" 77.5 87.5 0
"979" 78.5 87.5 0
"980" 79.5 87.5 0
"981" 80.5 87.5 0
"982" 81.5 87.5 0
"983" 82.5 87.5 0
"984" 83.5 87.5 0
"985" 84.5 87.5 0
"986" 85.5 87.5 0
"987" 86.5 87.5 0
"988" 87.5 87.5 0
"989" 88.5 87.5 0
"990" 89.5 87.5 0
"991" 90.5 87.5 0
"992" 91.5 87.5 0
"993" 92.5 87.5 0
"994" 93.5 87.5 0
